ID,bedrooms,bathrooms,living_space,address,city,state,zipcode,latitude,longitude,property_url,price
39,2,2,1397.0,"2240 Columbine Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.899345,-119.96578,https://www.zillow.com/homedetails/2240-Columbine-Trl-South-Lake-Tahoe-CA-96150/18575758_zpid/,875000.0
40,4,3,2368.0,"2317 Sutter Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.901443,-119.959694,https://www.zillow.com/homedetails/2317-Sutter-Trl-South-Lake-Tahoe-CA-96150/18575530_zpid/,995000.0
41,3,2,1136.0,"2575 Bertha Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.922604,-119.98174,https://www.zillow.com/homedetails/2575-Bertha-Ave-South-Lake-Tahoe-CA-96150/18579997_zpid/,650000.0
42,3,2,1161.0,"1171 Herbert Ave #C, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.941444,-119.96012,https://www.zillow.com/homedetails/1171-Herbert-Ave-C-South-Lake-Tahoe-CA-96150/18575450_zpid/,438000.0
43,4,2,2554.0,"1181 Gold Dust Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.902077,-119.977066,https://www.zillow.com/homedetails/1181-Gold-Dust-Trl-South-Lake-Tahoe-CA-96150/18600864_zpid/,995000.0
44,2,1,1007.0,"2652 Pinter Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92146,-119.97621,https://www.zillow.com/homedetails/2652-Pinter-Ave-South-Lake-Tahoe-CA-96150/18580570_zpid/,550000.0
45,2,1,786.0,"2579 Fountain Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.91962,-119.9785,https://www.zillow.com/homedetails/2579-Fountain-Ave-South-Lake-Tahoe-CA-96150/18580519_zpid/,499000.0
46,2,1,912.0,"748 Roger Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.91834,-120.01349,https://www.zillow.com/homedetails/748-Roger-Ave-South-Lake-Tahoe-CA-96150/18572243_zpid/,534000.0
47,4,3,2458.0,"1019 Turnback Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.903683,-119.98397,https://www.zillow.com/homedetails/1019-Turnback-Trl-South-Lake-Tahoe-CA-96150/95386965_zpid/,1488800.0
48,2,1,894.0,"2462 Palmira Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92282,-119.98848,https://www.zillow.com/homedetails/2462-Palmira-Ave-South-Lake-Tahoe-CA-96150/18579558_zpid/,500000.0
49,2,2,1318.0,"863 Tahoe Keys Blvd, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.922398,-119.99977,https://www.zillow.com/homedetails/863-Tahoe-Keys-Blvd-South-Lake-Tahoe-CA-96150/18574130_zpid/,525000.0
50,3,2,1212.0,"2223 Washington Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.9215,-120.00088,https://www.zillow.com/homedetails/2223-Washington-Ave-South-Lake-Tahoe-CA-96150/18573366_zpid/,649999.0
51,4,2,1486.0,"1677 Glenwood Way, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92758,-119.95529,https://www.zillow.com/homedetails/1677-Glenwood-Way-South-Lake-Tahoe-CA-96150/18575003_zpid/,575000.0
52,2,1,908.0,"1258 Dedi Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.903294,-120.00398,https://www.zillow.com/homedetails/1258-Dedi-Ave-South-Lake-Tahoe-CA-96150/18581373_zpid/,450000.0
53,3,2,1462.0,"439 Ala Wai Blvd APT 115, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.9353,-120.00451,https://www.zillow.com/homedetails/439-Ala-Wai-Blvd-APT-115-South-Lake-Tahoe-CA-96150/18571900_zpid/,749000.0
54,3,2,1560.0,"1103 Sundown Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.904953,-119.979965,https://www.zillow.com/homedetails/1103-Sundown-Trl-South-Lake-Tahoe-CA-96150/18600783_zpid/,878000.0
55,2,2,1750.0,"1080 Julie Ln SPACE 227, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.907677,-120.01188,https://www.zillow.com/homedetails/1080-Julie-Ln-SPACE-227-South-Lake-Tahoe-CA-96150/325572456_zpid/,298000.0
56,2,1,832.0,"1281 Bonanza Ave APT 2, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.90378,-120.0003,https://www.zillow.com/homedetails/1281-Bonanza-Ave-APT-2-South-Lake-Tahoe-CA-96150/18581547_zpid/,299000.0
57,4,2,1530.0,"1512 Murietta Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92576,-119.961876,https://www.zillow.com/homedetails/1512-Murietta-Dr-South-Lake-Tahoe-CA-96150/18575867_zpid/,745000.0
58,3,1,1216.0,"2492 Armstrong Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.9215,-119.98525,https://www.zillow.com/homedetails/2492-Armstrong-Ave-South-Lake-Tahoe-CA-96150/18579891_zpid/,550000.0
59,4,4,3752.0,"3748 Terrace Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.940613,-119.94777,https://www.zillow.com/homedetails/3748-Terrace-Dr-South-Lake-Tahoe-CA-96150/18578450_zpid/,1350000.0
60,5,5,3241.0,"2205 Inverness Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.93277,-120.00709,https://www.zillow.com/homedetails/2205-Inverness-Dr-South-Lake-Tahoe-CA-96150/18570821_zpid/,3888000.0
61,3,2,1698.0,"1520 Horace Greeley Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.91493,-119.96877,https://www.zillow.com/homedetails/1520-Horace-Greeley-Ave-South-Lake-Tahoe-CA-96150/89468330_zpid/,799000.0
62,2,1,841.0,"1223 Bonanza Ave APT 34, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.90577,-120.00144,https://www.zillow.com/homedetails/1223-Bonanza-Ave-APT-34-South-Lake-Tahoe-CA-96150/18581541_zpid/,325000.0
63,3,2,2008.0,"2655 Chris Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.926796,-119.98187,https://www.zillow.com/homedetails/2655-Chris-Ave-South-Lake-Tahoe-CA-96150/18579656_zpid/,750000.0
64,2,2,832.0,"1410 Ski Run Blvd #14, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.936333,-119.9493,https://www.zillow.com/homedetails/1410-Ski-Run-Blvd-14-South-Lake-Tahoe-CA-96150/18575881_zpid/,459999.0
